O*NET-SOC 2010 (CÓDIGO),O*NET-SOC 2010 (NOME),2010 SOC (CÓDIGO),2010 SOC (TÍTULO),Isco08 (CÓDIGO),Isco08 (TÍTULO),PNAD CONTÍNUA _ COD(CÓDIGO),PNAD CONTÍNUA _COD(TÍTULO),CBO CÓDIGO,CBO TÍTULO
13-1199.06,Online Merchants,13-1199,"Business Operations Specialists, All Other",2422,Policy administration professionals,2422,Especialistas em políticas de administração,142355,Analista de e-commerce
13-2011.00,Accountants and Auditors,13-2011,Accountants and Auditors,2411,Accountants,2411,Contadores,252205,Auditor (contadores e afins)
13-2011.01,Accountants,13-2011,Accountants and Auditors,2411,Accountants,2411,Contadores,252205,Auditor (contadores e afins)
13-2011.02,Auditors,13-2011,Accountants and Auditors,2411,Accountants,2411,Contadores,252205,Auditor (contadores e afins)
13-2021.00,Appraisers and Assessors of Real Estate,13-2021,Appraisers and Assessors of Real Estate,3315,Valuers and loss assessors,3315,Avaliadores,354405,Leiloeiro
13-2021.01,Assessors,13-2021,Appraisers and Assessors of Real Estate,3315,Valuers and loss assessors,3315,Avaliadores,354405,Leiloeiro
13-2021.02,"Appraisers, Real Estate",13-2021,Appraisers and Assessors of Real Estate,3315,Valuers and loss assessors,3315,Avaliadores,354405,Leiloeiro
13-2031.00,Budget Analysts,13-2031,Budget Analysts,2411,Accountants,2411,Contadores,252205,Auditor (contadores e afins)
13-2041.00,Credit Analysts,13-2041,Credit Analysts,2413,Financial analysts,2413,Analistas financeiros,142120,Tecnólogo em gestão administrativo- financeira
13-2051.00,Financial Analysts,13-2051,Financial Analysts,2412,Financial and investment advisers,2412,Assessores financeiros e em investimentos,252505,Administrador de fundos e carteiras de investimento
13-2052.00,Personal Financial Advisors,13-2052,Personal Financial Advisors,2412,Financial and investment advisers,2412,Assessores financeiros e em investimentos,252505,Administrador de fundos e carteiras de investimento
13-2053.00,Insurance Underwriters,13-2053,Insurance Underwriters,3321,Insurance representatives,3321,Agentes de seguros,351705,Analista de seguros (técnico)
13-2061.00,Financial Examiners,13-2061,Financial Examiners,2413,Financial analysts,2413,Analistas financeiros,142120,Tecnólogo em gestão administrativo- financeira
13-2071.00,Credit Counselors,13-2071,Credit Counselors,3312,Credit and loans officers,3312,Agentes de empréstimos e financiamento,411050,Agente de microcrédito
13-2071.01,Loan Counselors,13-2071,Credit Counselors,3312,Credit and loans officers,3312,Agentes de empréstimos e financiamento,411050,Agente de microcrédito
13-2072.00,Loan Officers,13-2072,Loan Officers,3312,Credit and loans officers,3312,Agentes de empréstimos e financiamento,411050,Agente de microcrédito
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents",3352,Government tax and excise officials,3352,Agentes da administração tributária,254105,Auditor-fiscal da receita federal
13-2082.00,Tax Preparers,13-2082,Tax Preparers,2411,Accountants,2411,Contadores,252205,Auditor (contadores e afins)
13-2099.00,"Financial Specialists, All Other",13-2099,"Financial Specialists, All Other",3339,Business services agents not elsewhere classified,3339,Agentes de serviços comerciais não classificados anteriormente,354305,Analista de exportação e importação
13-2099.01,Financial Quantitative Analysts,13-2099,"Financial Specialists, All Other",3339,Business services agents not elsewhere classified,3339,Agentes de serviços comerciais não classificados anteriormente,354305,Analista de exportação e importação
13-2099.02,Risk Management Specialists,13-2099,"Financial Specialists, All Other",3339,Business services agents not elsewhere classified,3339,Agentes de serviços comerciais não classificados anteriormente,354305,Analista de exportação e importação
13-2099.03,Investment Underwriters,13-2099,"Financial Specialists, All Other",3339,Business services agents not elsewhere classified,3339,Agentes de serviços comerciais não classificados anteriormente,354305,Analista de exportação e importação
13-2099.04,"Fraud Examiners, Investigators and Analysts",13-2099,"Financial Specialists, All Other",3339,Business services agents not elsewhere classified,3339,Agentes de serviços comerciais não classificados anteriormente,354305,Analista de exportação e importação
15-1111.00,Computer and Information Research Scientists,15-1111,Computer and Information Research Scientists,2511,Systems analysts,2511,Analistas de sistemas,212405,Analista de desenvolvimento de sistemas
15-1121.00,Computer Systems Analysts,15-1121,Computer Systems Analysts,2511,Systems analysts,2511,Analistas de sistemas,212405,Analista de desenvolvimento de sistemas
15-1121.01,Informatics Nurse Specialists,15-1121,Computer Systems Analysts,2511,Systems analysts,2511,Analistas de sistemas,212405,Analista de desenvolvimento de sistemas
15-1122.00,Information Security Analysts,15-1122,Information Security Analysts,2529,Database and network professionals not elsewhere classified,2529,Especialistas em base de dados e em redes de computadores não classificados anteriormente,212320,Administrador em segurança da informação
15-1131.00,Computer Programmers,15-1131,Computer Programmers,2514,Applications programmers,2514,Programadores de aplicações,317110,Desenvolvedor de sistemas de tecnologia da informação (técnico)
15-1132.00,"Software Developers, Applications",15-1132,"Software Developers, Applications",2512,Software developers,2512,Desenvolvedores de programas e aplicativos (software),317110,Desenvolvedor de sistemas de tecnologia da informação (técnico)
15-1133.00,"Software Developers, Systems Software",15-1133,"Software Developers, Systems Software",2512,Software developers,2512,Desenvolvedores de programas e aplicativos (software),317110,Desenvolvedor de sistemas de tecnologia da informação (técnico)
15-1134.00,Web Developers,15-1134,Web Developers,2513,Web and multimedia developers,2513,Desenvolvedores de páginas de internet (web) e multimídia,317105,Desenvolvedor web (técnico)
15-1141.00,Database Administrators,15-1141,Database Administrators,2521,Database designers and administrators,2521,Desenhistas e administradores de bases de dados,212305,Administrador de banco de dados
15-1142.00,Network and Computer Systems Administrators,15-1142,Network and Computer Systems Administrators,2522,Systems administrators,2522,Administradores de sistemas,212310,Administrador de redes
15-1143.00,Computer Network Architects,15-1143,Computer Network Architects,2523,Computer network professionals,2523,Profissionais em rede de computadores,212410,Analista de redes e de comunicação de dados
15-1143.01,Telecommunications Engineering Specialists,15-1143,Computer Network Architects,2523,Computer network professionals,2523,Profissionais em rede de computadores,212410,Analista de redes e de comunicação de dados
15-1151.00,Computer User Support Specialists,15-1151,Computer User Support Specialists,3512,Information and communications technology user support technicians,3512,Técnicos em assistência ao usuário de tecnologia da informação e das comunicações,317210,Técnico de suporte ao usuário de tecnologia da informação
15-1152.00,Computer Network Support Specialists,15-1152,Computer Network Support Specialists,3513,Computer network and systems technicians,3513,Técnicos de redes e sistemas de computadores,142530,Gerente de suporte técnico de tecnologia da informação
15-1199.00,"Computer Occupations, All Other",15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.01,Software Quality Assurance Engineers and Testers,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.02,Computer Systems Engineers/Architects,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.03,Web Administrators,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.04,Geospatial Information Scientists and Technologists,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.05,Geographic Information Systems Technicians,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.06,Database Architects,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.07,Data Warehousing Specialists,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.08,Business Intelligence Analysts,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.09,Information Technology Project Managers,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.10,Search Marketing Strategists,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.11,Video Game Designers,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-1199.12,Document Management Specialists,15-1199,"Computer Occupations, All Other",2519,Software and applications developers and analysts not elsewhere classified,2519,Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente,203105,Pesquisador em ciências da computação e informática
15-2011.00,Actuaries,15-2011,Actuaries,2120,"Mathematicians, actuaries and statisticians",2120,"Matemáticos, atuários e estatísticos",203120,Pesquisador em matemática
15-2021.00,Mathematicians,15-2021,Mathematicians,2120,"Mathematicians, actuaries and statisticians",2120,"Matemáticos, atuários e estatísticos",203120,Pesquisador em matemática
15-2031.00,Operations Research Analysts,15-2031,Operations Research Analysts,2120,"Mathematicians, actuaries and statisticians",2120,"Matemáticos, atuários e estatísticos",203120,Pesquisador em matemática
15-2041.00,Statisticians,15-2041,Statisticians,2120,"Mathematicians, actuaries and statisticians",2120,"Matemáticos, atuários e estatísticos",203120,Pesquisador em matemática
15-2041.01,Biostatisticians,15-2041,Statisticians,2120,"Mathematicians, actuaries and statisticians",2120,"Matemáticos, atuários e estatísticos",203120,Pesquisador em matemática
15-2041.02,Clinical Data Managers,15-2041,Statisticians,2120,"Mathematicians, actuaries and statisticians",2120,"Matemáticos, atuários e estatísticos",203120,Pesquisador em matemática
15-2091.00,Mathematical Technicians,15-2091,Mathematical Technicians,3314,"Statistical, mathematical and related associate professionals",3314,"Profissionais de nível médio de serviços estatísticos, matemáticos e afins",211115,Matemático
